case_id,case_type,image_modality,image_path,document_path,model1_output_path,model2_output_path,model3_output_path,embedding_path,status,error_message,runtime_seconds
main_brain_001,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\notumor\Tr-no_493.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_001\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_001\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_001\main_brain_001_brain_mri_embedding.npy,success,,0.433
main_brain_002,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Testing\notumor\Te-no_20.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_002\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_002\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_002\main_brain_002_brain_mri_embedding.npy,success,,0.157
main_brain_003,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Testing\glioma\Te-gl_283.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_003\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_003\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_003\main_brain_003_brain_mri_embedding.npy,success,,0.159
main_brain_004,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\pituitary\Tr-pi_1245.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_004\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_004\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_004\main_brain_004_brain_mri_embedding.npy,success,,0.155
main_brain_005,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\glioma\Tr-gl_326.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_005\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_005\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_005\main_brain_005_brain_mri_embedding.npy,success,,0.158
main_brain_006,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\glioma\Tr-gl_1364.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_006\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_006\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_006\main_brain_006_brain_mri_embedding.npy,success,,0.294
main_brain_007,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\glioma\Tr-gl_1203.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_007\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_007\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_007\main_brain_007_brain_mri_embedding.npy,success,,0.157
main_brain_008,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Testing\notumor\Te-no_48.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_008\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_008\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_008\main_brain_008_brain_mri_embedding.npy,success,,0.158
main_brain_009,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\pituitary\Tr-pi_1208.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_009\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_009\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_009\main_brain_009_brain_mri_embedding.npy,success,,0.155
main_brain_010,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Testing\notumor\Te-no_134.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_010\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_010\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_010\main_brain_010_brain_mri_embedding.npy,success,,0.157
main_brain_011,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\notumor\Tr-no_768.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_011\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_011\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_011\main_brain_011_brain_mri_embedding.npy,success,,0.158
main_brain_012,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\pituitary\Tr-pi_1239.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_012\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_012\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_012\main_brain_012_brain_mri_embedding.npy,success,,0.159
main_brain_013,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\notumor\Tr-no_1059.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_013\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_013\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_013\main_brain_013_brain_mri_embedding.npy,success,,0.155
main_brain_014,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Testing\meningioma\Te-me_288.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_014\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_014\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_014\main_brain_014_brain_mri_embedding.npy,success,,0.157
main_brain_015,brain_image_only,brain_mri,C:\Users\T2520824\thesis_multimodal_ai\data\images\brain_mri\Training\notumor\Tr-no_1392.jpg,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_015\model1_output.json,,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_015\model3_output.json,C:\Users\T2520824\thesis_multimodal_ai\outputs\final_run_100_tuned_v2\main_brain_015\main_brain_015_brain_mri_embedding.npy,success,,0.153
